program,type,installed,exact name,github link,comment
bedtools,module,system,BEDTools/2.31.1-GCC-13.3.0,,
bowtie2,module,system,Bowtie2/2.5.4-GCC-13.3.0,,
cdhit,module,system,CD-HIT/4.8.1-GCC-12.3.0,,
conda,module,system,Conda,,
dRep,module,system, dRep/3.6.2-foss-2022a,,
diamond,module,system,DIAMOND/2.1.9-GCC-13.2.0,,
hmmer,module,system,HMMER/3.4-gompi-2024a,,
interproscan,module,system,InterProScan/5.76-107.0-GCC-13.3.0,,
iqtree,module,system,IQ-TREE/2.4.0,,
mafft,module,system,MAFFT/7.526-GCC-13.3.0-with-extensions,,
minimap2,module,system,minimap2/2.30-GCCcore-14.3.0,,
ncbiblastplus,module,system,BLAST+/2.17.0-gompi-2024a,,
prodigal,module,system,prodigal/2.6.3-GCCcore-13.3.0,,
samtools,module,system,SAMtools/1.23-GCC-14.2.0,,
,,,,,
aragorn,conda,bioconda,aragorn-1.2.41,,
bioinf,conda,user,bioinf,,
minced,conda,bioconda,minced-0.4.2,,
Crispr-env,conda,user,crispr-env,https://github.com/BackofenLab/CRISPRcasIdentifier,
spacerextractor,conda,user,spacerextractor-0.9.8,,
R_new,conda,user,R,,
prokka,conda,system,Prokka-1.15.6,,
ncldv_markersearch,conda,user,ncldv_markersearch,https://github.com/faylward/ncldv_markersearch,"needs: SeqIO (biopython), hmmer3 and python=3.5"
nuphylo,conda,user,nuphylo,https://github.com/BenMinch/NuPhylo,"needs: fasttree, python=3.9, mafft, trimal catfasta2phyml"
aster,conda,bioconda,aster-1.23,,
padloc,conda,bioconda,padloc-2.0.0,,
Eggnog-mapper-2.1.13,conda,bioconda,eggnog-mapper-2.1.13,,
