Tree Node,Color,Label
Asfarviridae_AY261360_African_swine_fever_virus_isolate_Kenya_1950,#FFFF00,Asfuvirales
Asfarviridae_AY261361_African_swine_fever_virus_isolate_Malawi_Lil_20_1,#FFFF00,Asfuvirales
Asfarviridae_AY261362_African_swine_fever_virus_isolate_Mkuzi_1979,#FFFF00,Asfuvirales
Asfarviridae_KJ614390_Faustovirus_strain_E12,#FFFF00,Asfuvirales
Asfarviridae_KU702951_Faustovirus_strain_D6,#FFFF00,Asfuvirales
Schulz_GVMAG_M_3300027833_19,#FFFF00,Asfuvirales
Moniruzzaman_AF02_ERX556003_45_dc,#FFFF00,Asfuvirales
Schulz_GVMAG_M_3300018416_36,#FFFF00,Asfuvirales
TARA_MED_NCLDV_00012,#FFFF00,Asfuvirales
TARA_SOC_NCLDV_00027,#FFFF00,Asfuvirales
Moniruzzaman_LP01_ERX555961_17_dc,#006400,Algavirales
Moniruzzaman_LP01_ERX555967_111_dc,#006400,Algavirales
Moniruzzaman_LP01_SRX802076_50_dc,#006400,Algavirales
Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2,#006400,Algavirales
Schulz_GVMAG_S_1102110_122,#006400,Algavirales
Phycodnaviridae_JX997184_Paramecium_bursaria_Chlorella_virus_OR0704_2_2,#006400,Algavirales
Phycodnaviridae_JX997186_Acanthocystis_turfacea_Chlorella_virus_TN603_4_2,#006400,Algavirales
Moniruzzaman_LP03_ERX552270_64_dc,#006400,Algavirales
Moniruzzaman_LP03_ERX555907_69_dc,#006400,Algavirales
Schulz_GVMAG_S_1016713_174,#006400,Algavirales
Schulz_GVMAG_S_ERX555907_72,#006400,Algavirales
TARA_PSW_NCLDV_00036,#006400,Algavirales
Moniruzzaman_LP04_ERX552283_9_dc,#006400,Algavirales
Moniruzzaman_LP04_ERX556017_11_dc,#006400,Algavirales
Phycodnaviridae_KX008963_Heterosigma_akashiwo_virus_01_isolate_HaV53,#006400,Algavirales
Schulz_GVMAG_S_1102113_118,#006400,Algavirales
TARA_SOC_NCLDV_00021,#006400,Algavirales
Moniruzzaman_MM01_ERX552243_80_dc,#FF0800,Imitervirales
Moniruzzaman_MM01_ERX552270_55_dc,#FF0800,Imitervirales
Moniruzzaman_MM01_ERX552283_5_dc,#FF0800,Imitervirales
