ID,sample_metagenome,WWTP,DNA_extraction,sample_date,latitude,longitude,#paired_Illumina_reads,total_Illumina_data_bp,#paired_illumina_reads_trimmed,total_Illumina_data_trimmed_bp,NP_reads,total_nanopore_data_bp,NP_reads_after_qc_trimming,totalbp_NP_data_trimmed_bp,totalbp_NP_assembly,NP_trimmed_reads_mapped_to_assembly,proportion_of_reads_mapped_NP,illumina_trimmed_reads_mapped_to_assembly,proportion_illumina_trimmed_reads_mapped_to_assembly
45,AalE_18-Q3-R2-46,Aalborg E,Powersoil,8/29/2018,57.045161,10.045761,86462379,26111638458,82897503,24313055686,5117107,33252302868,3058398,27658543007,1385666571,2334385,0.76327051,40892802,0.493293531
46,AalW_18-Q3-R10-53,Aalborg W,Powersoil,8/29/2018,57.049513,9.864788,112104536,33855569872,109895315,32524009197,7423370,52557774713,5431992,46138827827,2387816966,4677484,0.861099206,68283603,0.621351356
47,Aved_18-Q3-R54-62,Avedøre,Powersoil,8/30/2018,55.608613,12.450537,103671899,31308913498,101992592,30339928405,8116425,58879116609,5303898,51250937592,2696088576,4617733,0.870630054,67544578,0.662249843
48,Bjer_18-Q3-R1-45,Bjergmarken,Powersoil,8/29/2018,55.649286,12.058568,88638487,26768823074,81884402,23675572910,5786735,36444108487,2662402,30097520654,1397123619,2152150,0.808349002,45343758,0.553753302
49,Damh_18-Q3-R51-60,Damhusåen,Powersoil,8/29/2018,55.640546,12.505848,110696697,33430402494,108377855,32035993558,5245013,34014506045,2410169,26654419123,1262690624,1837144,0.762246963,59458323,0.548620592
50,Ega_18-Q3-R5-49,Egå,Powersoil,8/28/2018,56.21314,10.242467,99186442,29954305484,96725788,28521858754,4283321,28502243887,2074344,23628448482,1127420699,1488582,0.717615786,42598475,0.440404528
51,Ejby_18-Q3-R6-50,Ejby Mølle,Powersoil,8/29/2018,55.399534,10.414787,97547817,29459440734,94967432,27980549890,4761121,29247254296,2288835,23800647426,1253096564,1747339,0.763418508,45447910,0.478563114
52,EsbE_18-Q3-R3-47,Esbjerg E,Powersoil,8/29/2018,55.458597,8.489092,79246531,23932452362,75033096,21920394373,3698627,25742830031,2120000,21879491331,1080289250,1594502,0.752123585,37269741,0.496710692
53,EsbW_18-Q3-R4-48,Esbjerg W,Powersoil,9/7/2018,55.488097,8.430505,80455857,24297668814,78693977,23224516034,5159704,38342489707,3579271,33972873630,1753393177,3072485,0.858410833,51803477,0.65829024
54,Fred_18-Q3-R57-64,Fredericia,Powersoil,8/29/2018,55.552368,9.720404,97709766,29508349332,96223605,28651389841,8568732,59188277102,5226041,50334755463,2617909028,4578523,0.876097796,65861958,0.684467787
55,Hade_18-Q3-R52-61,Haderslev,Powersoil,8/29/2018,55.249786,9.508609,115527470,34889295940,113173201,33541660899,8035020,52841629570,5153204,45161356791,2195536623,4209988,0.816965135,62742763,0.554395939
56,Hirt_18-Q3-R61-65,Hirtshals,Powersoil,8/29/2018,57.577275,9.992971,83537031,25228183362,81666471,24262422995,5755523,43078137802,4265612,38582588140,2199699488,3694204,0.866043138,52226636,0.639511361
57,Hjor_18-Q3-R7-51,Hjørring,Powersoil,8/29/2018,57.421265,9.975411,98439877,29728842854,95260337,27980445758,4176592,21025755874,1991636,16001390831,697299811,1687648,0.847367692,52209604,0.548072846
58,Kalu_18-Q3-R12-55,Kalundborg,Powersoil,9/3/2018,55.668006,11.107247,100643006,30394187812,98507865,29169281203,2843709,22535966837,1819405,19681092763,931998898,1527263,0.839429924,62010299,0.629495919
59,Lyne_18-Q3-R50-59,Lynetten,Powersoil,8/29/2018,55.695362,12.612702,108219395,32682257290,106363893,31467636610,7110526,50587948926,4701026,44330602875,2217411509,4063307,0.86434472,68912836,0.647896895
60,Mari_18-Q3-R65-66,Mariagerfjord,Powersoil,8/29/2018,56.742252,10.114475,89397123,26997931146,88040151,26215911422,3795315,26624043762,2587308,23349086460,1246599102,2072535,0.80103915,47622805,0.540921437
61,OdNE_18-Q3-R46-58,Odense NE,Powersoil,8/29/2018,55.432604,10.458855,106920681,32290045662,105433301,31279730076,4822210,33651583275,2859215,27648723761,1468216112,2323033,0.812472304,60703635,0.575753907
62,OdNW_18-Q3-R42-56,Odense NW,Powersoil,8/29/2018,55.421534,10.366234,96934672,29274270944,95125067,28189950985,5126757,33472341884,2484690,27280380265,1492288951,1959573,0.788658947,51661938,0.543094892
63,Rand_18-Q3-R56-63,Randers,Powersoil,8/29/2018,56.453767,10.070249,98315213,29691194326,95934187,28401587442,4320739,25611483420,2294329,20753903799,1076949917,1653415,0.720652967,40636167,0.423583795
64,Ribe_18-Q3-R11-54,Ribe,Powersoil,8/29/2018,55.329053,8.74336,101675823,30706098546,100222374,29835431095,4696628,34141541660,3145470,29679829787,1491903058,2489329,0.791401285,51291173,0.511773678
65,Skiv_18-Q3-R9-52,Skive,Powersoil,9/7/2018,56.565132,9.042158,96108260,29024694520,94107612,27837468230,6023352,41716153139,3689217,35473609297,1891766780,3048830,0.826416554,52401847,0.556828995
66,Vibo_18-Q3-R45-57,Viborg,Powersoil,8/29/2018,56.425251,9.455198,93328513,28185210926,91381276,27000003103,4509947,27244912843,2215746,22168761284,1119434155,1717662,0.775207086,47539210,0.520229221
67,Viby_18-Q3-R106-67,Viby,Powersoil,8/29/2018,56.126497,10.141274,94948828,28674546056,93210528,27709198874,3913726,22119490176,1567145,17246053980,840443056,1098943,0.701238877,40245856,0.431773716
