contig,sample,label
tig00014446-10-220150,Damh,vph
tig00018526-10-141480,Damh,vph
tig00019442-10-136670,Vibo,plv
tig00021708-10-192480,AalE,vph
tig00023995-10-186920,Ejby,plv
tig00024931-10-107240,Vibo,plv
tig00027726-10-154320,Bjer,plv
tig00028020-10-249450,Lyne,vph
tig00030249-10-170680,Ribe,plv
tig00033829-10-240680,Lyne,vph
tig00039850-10-191400,Mari,plv
tig00043866-10-124870,Viby,vph
tig00044463-10-176290,Lyne,vph
tig00046032-10-146580,Lyne,plv
tig00046628-10-92530,Damh,vph
tig00048883-10-193450,Aved,plv
tig00051270-10-161640,Fred,vph
tig00054083-10-84480,Rand,plv
tig00055912-10-108660,Rand,plv
tig00056523-10-134420,Aved,vph
tig00060056-10-166770,Lyne,plv
tig00073545-10-42870,Vibo,vph
tig00083928-10-131450,AalW,plv
tig00084897-10-150130,Aved,plv
tig00086668-10-71420,Hade,vph
tig00089364-10-137080,Fred,vph
tig00138093-10-67990,Skiv,vph
tig00303955-10-54120,Aved,vph
tig00813462-10-110980,Rand,plv
