gv_id,host_id,gv_order,host_tax,no_of_layers,layers,host_tax_perc
Fred_2_3,Fred_tig00010071-10-2322020_lc,Pandoravirales,Actinomycetota bacterium,3,"crispr, gene_sharing, integration_middle","14,2857"
Hade_1,Hade_tig00003088-10-4372090_lc,Pimascovirales,bacterium,4,"crispr, gene_sharing, integration_boundary, integration_middle","8,97436"
Hjor_1,Hjor_tig00001270-10-4746200_lc,Pimascovirales,uncultured virus,4,"crispr, gene_sharing, integration_boundary, integration_middle","21,7391"
Hjor_2_3_4_6,Hjor_tig00005142-10-1794980_lc,Imitervirales,Alphaproteobacteria bacterium,3,"crispr, gene_sharing, integration_middle","7,69231"
Lyne_1,OdNE_tig00000187-10-14157450_lc,Imitervirales,Cotonvirus japonicus,2,"crispr, gene_sharing","6,89655"
OdNE_1,OdNE_tig00000187-10-14157450_lc,Imitervirales,Cotonvirus japonicus,3,"crispr, gene_sharing, integration_middle","6,89655"
Skiv_3_6,OdNE_tig00000187-10-14157450_lc,Imitervirales,Cotonvirus japonicus,3,"crispr, gene_sharing, integration_middle","6,89655"
Viby_1_2_3_4,OdNE_tig00000187-10-14157450_lc,Imitervirales,Cotonvirus japonicus,4,"crispr, gene_sharing, integration_boundary, integration_middle","6,89655"
Bjer_1,Bjer_tig00003152-10-4648240_lc,Asfuvirales,Pacmanvirus A23,3,"gene_sharing, integration_boundary, integration_middle","5,71429"
Bjer_1,Damh_tig00001620-10-2012370_lc,Asfuvirales,Pacmanvirus A23,2,"gene_sharing, integration_middle","13,3333"
Bjer_1,Damh_tig00003367-10-1511030_lc,Asfuvirales,Marseillevirus LCMAC101,2,"gene_sharing, integration_middle","6,66667"
Bjer_2_3,Bjer_tig00005251-10-2877190_lc,Pimascovirales,Marseillevirus LCMAC102,3,"gene_sharing, integration_boundary, integration_middle","22,6415"
Bjer_2_3,Bjer_tig00007454-10-2210560_lc,Pimascovirales,Marseillevirus LCMAC102,2,"gene_sharing, integration_middle","23,5294"
Bjer_2_3,Mari_tig00004036-10-3626190_lc,Pimascovirales,Marseillevirus LCMAC102,3,"gene_sharing, integration_boundary, integration_middle","19,2982"
Damh_1_2,Bjer_tig00003152-10-4648240_lc,Asfuvirales,Pacmanvirus A23,2,"gene_sharing, integration_middle","5,71429"
Mari_1_3,Bjer_tig00005251-10-2877190_lc,Pimascovirales,Marseillevirus LCMAC102,3,"gene_sharing, integration_boundary, integration_middle","22,6415"
Mari_1_3,Bjer_tig00007454-10-2210560_lc,Pimascovirales,Marseillevirus LCMAC102,2,"gene_sharing, integration_middle","23,5294"
Damh_1_2,Damh_tig00001620-10-2012370_lc,Asfuvirales,Pacmanvirus A23,2,"gene_sharing, integration_middle","13,3333"
Damh_1_2,Damh_tig00003367-10-1511030_lc,Asfuvirales,Marseillevirus LCMAC101,2,"gene_sharing, integration_middle","6,66667"
EsbW_1,EsbW_tig00004004-10-4987800_lc,Pimascovirales,bacterium,3,"gene_sharing, integration_boundary, integration_middle",5
Fred_1_A,Fred_tig00009743-10-1099150_lc,Pandoravirales,Bacteroidales bacterium,2,"gene_sharing, integration_middle","14,2857"
Fred_1_A,Fred_tig00352724-10-1651420_lc,Pandoravirales,Paraphysoderma sedebokerense,3,"gene_sharing, integration_boundary, integration_middle",10
Fred_1_A,Fred_tig00352725-10-1069880_lc,Pandoravirales,Candidatus Binatia bacterium,2,"gene_sharing, integration_middle","12,5"
Fred_1_B,Fred_tig00009743-10-1099150_lc,Pandoravirales,Bacteroidales bacterium,2,"gene_sharing, integration_middle","14,2857"
Fred_1_B,Fred_tig00352724-10-1651420_lc,Pandoravirales,Paraphysoderma sedebokerense,3,"gene_sharing, integration_boundary, integration_middle",10
Fred_1_B,Fred_tig00352725-10-1069880_lc,Pandoravirales,Candidatus Binatia bacterium,2,"gene_sharing, integration_middle","12,5"
Hjor_2_3_4_6,Hjor_tig00003964-10-2978680_lc,Imitervirales,Indivirus ILV1,2,"gene_sharing, integration_middle","7,57576"
Hjor_2_3_4_6,Hjor_tig00005182-10-1360720_lc,Imitervirales,bacterium,2,"gene_sharing, integration_middle","14,8148"
Hjor_2_3_4_6,Hjor_tig00006159-10-1434770_lc,Imitervirales,Terrestrivirus sp.,2,"gene_sharing, integration_middle","7,40741"
Hjor_2_3_4_6,OdNE_tig00000187-10-14157450_lc,Imitervirales,Cotonvirus japonicus,2,"gene_sharing, integration_middle","6,89655"
Hjor_5_8_9,Hjor_tig00008388-10-1084230_lc,Pimascovirales,Saprospiraceae bacterium,3,"gene_sharing, integration_boundary, integration_middle",20
Mari_1_3,Mari_tig00004036-10-3626190_lc,Pimascovirales,Marseillevirus LCMAC102,2,"gene_sharing, integration_middle","19,2982"
Mari_2_5,Mari_tig00008538-10-1788250_lc,Asfuvirales,Brachionus plicatilis,2,"gene_sharing, integration_middle","9,09091"
OdNE_1,Viby_tig00003089-10-1591420_lc,Imitervirales,Satyrvirus sp.,2,"gene_sharing, integration_middle","12,5"
OdNE_1,Viby_tig00003941-10-1214300_lc,Imitervirales,Cotonvirus japonicus,2,"gene_sharing, integration_middle","17,6471"
OdNW_2_10_11,OdNW_tig00005864-10-1477180_lc,Pimascovirales,Solivirus sp.,2,"gene_sharing, integration_middle",40
OdNW_3_4,OdNW_tig00006802-10-1794120_lc,Pandoravirales,Edaphobacter lichenicola,2,"gene_sharing, integration_middle","7,69231"
OdNW_3_4,OdNW_tig00007828-10-1024470_lc,Pandoravirales,Hyperionvirus sp.,2,"gene_sharing, integration_middle",25
OdNW_8,OdNW_tig00006802-10-1794120_lc,Pandoravirales,Edaphobacter lichenicola,2,"gene_sharing, integration_middle","7,69231"
OdNW_8,OdNW_tig00007828-10-1024470_lc,Pandoravirales,Hyperionvirus sp.,2,"gene_sharing, integration_middle",25
Rand_1_2,Rand_tig00000600-10-6272120_lc,Imitervirales,Flavobacteriales bacterium,2,"gene_sharing, integration_middle","3,9604"
Vibo_2_3_4,Vibo_tig00003214-10-1505520_lc,Asfuvirales,Anaeramoeba ignava,3,"gene_sharing, integration_boundary, integration_middle","14,2857"
Viby_1_2_3_4,Viby_tig00003089-10-1591420_lc,Imitervirales,Satyrvirus sp.,2,"gene_sharing, integration_middle","12,5"
Hjor_1,AalE_tig00263858-10-13527630_lc,Pimascovirales,Candidatus Phosphoribacter hodrii,2,"integration_boundary, integration_middle","80,6608"
Hjor_1,AalW_tig00404709-10-6402920_lc,Pimascovirales,Candidatus Phosphoribacter hodrii,2,"integration_boundary, integration_middle","65,9758"
Hjor_1,Aved_tig00374556-10-1707800_lc,Pimascovirales,Candidatus Phosphoribacter hodrii,2,"integration_boundary, integration_middle","67,1141"
Hjor_1,Ega_tig00000626-10-9714340_lc,Pimascovirales,Candidatus Phosphoribacter hodrii,2,"integration_boundary, integration_middle","84,4626"
Hjor_1,Ejby_tig00214222-10-17568240_lc,Pimascovirales,Candidatus Phosphoribacter hodrii,2,"integration_boundary, integration_middle","58,1191"
Hjor_1,Hirt_tig00316382-10-13345710_lc,Pimascovirales,Candidatus Phosphoribacter hodrii,2,"integration_boundary, integration_middle","53,5199"
