from,to,number_of_reads
Hjor_1,Hjor_tig00001270-10-4746200_lc,1747
OdNE_1,OdNE_tig00000187-10-14157450_lc,489
Fred_1_B,Fred_tig00009743-10-1099150_lc,134
Fred_1_A,Fred_tig00009743-10-1099150_lc,120
OdNE_1,Viby_1_2_3_4,82
Rand_1_2,Rand_tig00000600-10-6272120_lc,81
Fred_2_3,Fred_tig00010071-10-2322020_lc,57
Fred_2_3,Kalu_tig00100716-10-22830910_lc,46
Damh_1_2,Bjer_1,45
Damh_1_2,Bjer_tig00003152-10-4648240_lc,44
Vibo_2_3_4,Vibo_tig00003214-10-1505520_lc,44
Bjer_1,Damh_1_2,38
Bjer_1,Bjer_tig00003152-10-4648240_lc,26
Hjor_2_3_4_6,Hjor_tig00003964-10-2978680_lc,25
Viby_1_2_3_4,OdNE_tig00000187-10-14157450_lc,24
Hjor_2_3_4_6,Hjor_tig00005142-10-1794980_lc,23
Hjor_2_3_4_6,Hjor_tig00006159-10-1434770_lc,23
Damh_1_2,Damh_tig00003367-10-1511030_lc,21
Fred_2_3,AalW_tig00000448-10-20589020_lc,21
Fred_2_3,Aved_tig00011610-10-2937460_lc,21
Fred_2_3,Fred_tig00350846-10-38936460_lc,21
Fred_2_3,Rand_tig00004211-10-1469690_lc,21
OdNE_1,Lyne_1,20
Viby_1_2_3_4,OdNE_1,20
Mari_2_5,Mari_tig00008538-10-1788250_lc,19
Hjor_1,AalE_tig00007964-10-1237710_lc,17
Fred_2_3,Aved_tig00008460-10-4124940_lc,13
Fred_2_3,Hirt_tig00316788-10-2518150_lc,13
Damh_tig00014446-10-220150_vph,Lyne_tig00033829-10-240680_vph,12
Fred_2_3,AalW_tig00002366-10-9717900_lc,12
Fred_2_3,Ega_tig00004860-10-2464230_lc,12
Fred_2_3,OdNW_tig00000445-10-3121240_lc,12
Lyne_tig00033829-10-240680_vph,Lyne_tig00044463-10-176290_vph,12
Damh_3,Damh_4,11
Fred_2_3,OdNE_tig00000901-10-7460340_lc,11
Fred_2_3,OdNW_tig00009602-10-1476990_lc,11
Hjor_1,Ejby_tig00214222-10-17568240_lc,11
Hjor_2_3_4_6,Hjor_tig00005182-10-1360720_lc,11
Lyne_tig00044463-10-176290_vph,Lyne_tig00033829-10-240680_vph,11
EsbW_1,EsbW_tig00004004-10-4987800_lc,10
Fred_1_A,Fred_tig00352724-10-1651420_lc,10
Fred_2_3,AalW_tig00404023-10-3036810_lc,10
Fred_2_3,Aved_tig00024739-10-1221630_lc,10
Fred_2_3,Bjer_tig00008885-10-2198260_lc,10
Fred_2_3,Damh_tig00001460-10-5103290_lc,10
Fred_2_3,Ejby_tig00001843-10-3526580_lc,10
Hjor_1,Hirt_tig00316382-10-13345710_lc,10
Hjor_1,OdNW_tig00897188-10-1044130_lc,10
Mari_1_3,Bjer_2_3,10
Bjer_1,Damh_tig00003367-10-1511030_lc,9
