Genome Abbreviated ID,Genome full ID,Source dataset,Dataset type,Dataset ID,Genome topology,Genome length,ANI clustering status,ANI cluster,Predicted completeness,List of virophage marker genes,gwAAI group,MCP tree group,Blast-based affiliation,Dataset publication doi (or other comparable reference),Proposal doi (for JGI datasets)
EMALE01_Cflag_017B,Cflag_017B,Hackl_2021,Protist genome,Cflag_017B,Integrated,21311,Seed,EMALE01_Cflag_017B,Complete,ATPase MCP Penton PRO,Group 006,Mavirus virophages,Maveriviricetes;Lavidavirales;Maviroviridae,10.7554/eLife.72674,
EMALE03_RCC970_016A,RCC970_016A,Hackl_2021,Protist genome,RCC970_016A,Integrated,19438,Seed,EMALE03_RCC970_016A,Complete,ATPase MCP Penton PRO,Group 006,Mavirus virophages,Maveriviricetes;Lavidavirales;Maviroviridae,10.7554/eLife.72674,
EMALE04_BVI_055B,BVI_055B,Hackl_2021,Protist genome,BVI_055B,Integrated,19849,Seed,EMALE04_BVI_055B,Complete,ATPase MCP Penton PRO,Group 006,Mavirus virophages,Maveriviricetes;Lavidavirales;Maviroviridae,10.7554/eLife.72674,
EMALE05_BVI_001A,BVI_001A,Hackl_2021,Protist genome,BVI_001A,Integrated,18827,Seed,EMALE05_BVI_001A,Complete,ATPase MCP Penton PRO,Group 006,Mavirus virophages,Maveriviricetes;Lavidavirales;Maviroviridae,10.7554/eLife.72674,
EMALE06_BVI_058,BVI_058,Hackl_2021,Protist genome,BVI_058,Integrated,18948,Seed,EMALE06_BVI_058,Complete,ATPase MCP Penton PRO,Group 006,Mavirus virophages,Maveriviricetes;Lavidavirales;Maviroviridae,10.7554/eLife.72674,
EMALE07_E4-10_001,E4-10_001,Hackl_2021,Protist genome,E4-10_001,Integrated,32655,Seed,EMALE07_E4-10_001,Complete,ATPase MCP Penton PRO,Group 006,Mavirus virophages,Maveriviricetes;Lavidavirales;Maviroviridae,10.7554/eLife.72674,
IMG_VR_0005,DTR_578695,IMG_VR v3,Metagenome,CheckV database,DTR,32287,Seed,IMG_VR_0005,Complete,ATPase MCP Penton PRO,Group 001,Aquatic virophages 1,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1038/s41587-020-00774-7 10.1093/nar/gkaa946,
IMG_VR_0006,DTR_891052,IMG_VR v3,Metagenome,CheckV database,DTR,26671,Clustered,IMG_VR_1554,NA,NA,NA,NA,NA,10.1038/s41587-020-00774-7 10.1093/nar/gkaa946,
IMG_VR_0007,GCA_002630865.1,IMG_VR v3,Metagenome,CheckV database,DTR,26421,Clustered,Organic_Lake_virophage,NA,NA,NA,NA,NA,10.1073/pnas.1018221108 10.1093/nar/gkaa946,
IMG_VR_0008,GCA_003006235.2,IMG_VR v3,Isolate,CheckV database,DTR,17327,Clustered,Zamilon_virus_isolate_Z.vigne,NA,NA,NA,NA,NA,10.1038/s41396-019-0565-y 10.1093/nar/gkaa946,
IMG_VR_0015,IMGVR_UViG_3300000117_003134|3300000117|DelMOWin2010_c10011288,IMG_VR v3,Metagenome,3300000117,Linear,5026,Seed,IMG_VR_0015,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1128/mSystems.01020-20,10.46936/10.25585/60007339
IMG_VR_0016,IMGVR_UViG_3300000176_000463|3300000176|TB03JUN2009E_c000648,IMG_VR v3,Metagenome,3300000176,Linear,9800,Clustered,IMG_VR_0035,NA,NA,NA,NA,NA,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.7717/peerj.6075,10.46936/10.25585/60000533
IMG_VR_0017,IMGVR_UViG_3300000176_000464|3300000176|TB03JUN2009E_c000721,IMG_VR v3,Metagenome,3300000176,Linear,9214,Clustered,IMG_VR_0024,NA,NA,NA,NA,NA,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.7717/peerj.6075,10.46936/10.25585/60000533
IMG_VR_0018,IMGVR_UViG_3300000203_000342|3300000203|TB18AUG2009E_c000314,IMG_VR v3,Metagenome,3300000203,Linear,9799,Clustered,IMG_VR_0021,NA,NA,NA,NA,NA,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.7717/peerj.6075,10.46936/10.25585/60000533
IMG_VR_0019,IMGVR_UViG_3300000313_000028|3300000313|WSSedB1CaDRAFT_10000817,IMG_VR v3,Metagenome,3300000313,Linear,12744,Seed,IMG_VR_0019,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1128/mBio.00066-15,10.46936/10.25585/60001414
IMG_VR_0021,IMGVR_UViG_3300000439_001169|3300000439|TBL_comb48_EPIDRAFT_1000887,IMG_VR v3,Metagenome,3300000439,Linear,22946,Seed,IMG_VR_0021,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.7717/peerj.6075,
IMG_VR_0022,IMGVR_UViG_3300000439_001170|3300000439|TBL_comb48_EPIDRAFT_1001087,IMG_VR v3,Metagenome,3300000439,Linear,20549,Clustered,IMG_VR_1118,NA,NA,NA,NA,NA,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.7717/peerj.6075,
IMG_VR_0023,IMGVR_UViG_3300000439_001171|3300000439|TBL_comb48_EPIDRAFT_1001871,IMG_VR v3,Metagenome,3300000439,DTR,14947,Seed,IMG_VR_0023,Complete,ATPase MCP Penton PRO,Group 002,Sputnik virophages,Maveriviricetes;Mividavirales;Sputniviroviridae,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.7717/peerj.6075,
IMG_VR_0024,IMGVR_UViG_3300000439_001172|3300000439|TBL_comb48_EPIDRAFT_1002136,IMG_VR v3,Metagenome,3300000439,Linear,13909,Seed,IMG_VR_0024,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.7717/peerj.6075,
IMG_VR_0025,IMGVR_UViG_3300000439_001173|3300000439|TBL_comb48_EPIDRAFT_1004812,IMG_VR v3,Metagenome,3300000439,Linear,8475,Clustered,IMG_VR_1117,NA,NA,NA,NA,NA,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.7717/peerj.6075,
IMG_VR_0026,IMGVR_UViG_3300000439_001175|3300000439|TBL_comb48_EPIDRAFT_1006087,IMG_VR v3,Metagenome,3300000439,Linear,7275,Clustered,IMG_VR_0283,NA,NA,NA,NA,NA,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.7717/peerj.6075,
IMG_VR_0027,IMGVR_UViG_3300000502_000009|3300000502|M590M2_1000447,IMG_VR v3,Metagenome,3300000502,Linear,6899,Seed,IMG_VR_0027,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,
IMG_VR_0028,IMGVR_UViG_3300000502_000010|3300000502|M590M2_1002211,IMG_VR v3,Metagenome,3300000502,Linear,7565,Seed,IMG_VR_0028,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,
IMG_VR_0029,IMGVR_UViG_3300000502_000011|3300000502|M590M2_1006461,IMG_VR v3,Metagenome,3300000502,Linear,18023,Seed,IMG_VR_0029,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,
IMG_VR_0030,IMGVR_UViG_3300000502_000012|3300000502|M590M2_1009725,IMG_VR v3,Metagenome,3300000502,Linear,6886,Seed,IMG_VR_0030,Partial,ATPase MCP PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,
IMG_VR_0032,IMGVR_UViG_3300000553_001483|3300000553|TBL_comb47_HYPODRAFT_10002641,IMG_VR v3,Metagenome,3300000553,Linear,21931,Seed,IMG_VR_0032,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.1186/s40168-019-0768-5 10.7717/peerj.6075,
IMG_VR_0033,IMGVR_UViG_3300000553_001484|3300000553|TBL_comb47_HYPODRAFT_10002729,IMG_VR v3,Metagenome,3300000553,Linear,21538,Seed,IMG_VR_0033,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.1186/s40168-019-0768-5 10.7717/peerj.6075,
IMG_VR_0034,IMGVR_UViG_3300000553_001485|3300000553|TBL_comb47_HYPODRAFT_10004977,IMG_VR v3,Metagenome,3300000553,DTR,14947,Clustered,IMG_VR_0023,NA,NA,NA,NA,NA,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.1186/s40168-019-0768-5 10.7717/peerj.6075,
IMG_VR_0035,IMGVR_UViG_3300000553_001486|3300000553|TBL_comb47_HYPODRAFT_10005622,IMG_VR v3,Metagenome,3300000553,Linear,13905,Seed,IMG_VR_0035,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.1186/s40168-019-0768-5 10.7717/peerj.6075,
IMG_VR_0036,IMGVR_UViG_3300000553_001487|3300000553|TBL_comb47_HYPODRAFT_10005660,IMG_VR v3,Metagenome,3300000553,Linear,13842,Seed,IMG_VR_0036,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.1186/s40168-019-0768-5 10.7717/peerj.6075,
IMG_VR_0037,IMGVR_UViG_3300000553_001488|3300000553|TBL_comb47_HYPODRAFT_10006230,IMG_VR v3,Metagenome,3300000553,Linear,12949,Seed,IMG_VR_0037,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Gulliviroviridae,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.1186/s40168-019-0768-5 10.7717/peerj.6075,
IMG_VR_0038,IMGVR_UViG_3300000553_001489|3300000553|TBL_comb47_HYPODRAFT_10007071,IMG_VR v3,Metagenome,3300000553,Linear,11920,Seed,IMG_VR_0038,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.1186/s40168-019-0768-5 10.7717/peerj.6075,
IMG_VR_0039,IMGVR_UViG_3300000553_001491|3300000553|TBL_comb47_HYPODRAFT_10008145,IMG_VR v3,Metagenome,3300000553,Linear,10805,Clustered,IMG_VR_0024,NA,NA,NA,NA,NA,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.1186/s40168-019-0768-5 10.7717/peerj.6075,
IMG_VR_0040,IMGVR_UViG_3300000553_001492|3300000553|TBL_comb47_HYPODRAFT_10009724,IMG_VR v3,Metagenome,3300000553,Linear,9543,Seed,IMG_VR_0040,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Gulliviroviridae,10.1038/ismej.2015.241 10.1093/nar/gkaa946 10.1186/s40168-019-0768-5 10.7717/peerj.6075,
IMG_VR_0043,IMGVR_UViG_3300001213_000229|3300001213|JGIcombinedJ13530_100223357,IMG_VR v3,Metagenome,3300001213,Linear,6080,Seed,IMG_VR_0043,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Mividavirales;Sputniviroviridae,10.1093/nar/gkaa946 10.1128/mBio.00066-15,10.46936/10.25585/60001414
IMG_VR_0045,IMGVR_UViG_3300001282_000520|3300001282|B570J14230_10000209,IMG_VR v3,Metagenome,3300001282,Linear,22032,Clustered,IMG_VR_0102,NA,NA,NA,NA,NA,10.1093/nar/gkaa946,10.46936/10.25585/60000533
IMG_VR_0046,IMGVR_UViG_3300001336_000050|3300001336|ML7_10001506,IMG_VR v3,Metagenome,3300001336,Linear,22572,Seed,IMG_VR_0046,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946,
IMG_VR_0048,IMGVR_UViG_3300001419_000980|3300001419|JGI11705J14877_10006351,IMG_VR v3,Metagenome,3300001419,Linear,5577,Clustered,PE_027,NA,NA,NA,NA,NA,10.1093/nar/gkaa946,10.46936/10.25585/60007508
IMG_VR_0049,IMGVR_UViG_3300001450_003596|3300001450|JGI24006J15134_10004681,IMG_VR v3,Metagenome,3300001450,Linear,7198,Seed,IMG_VR_0049,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Mividavirales;Sputniviroviridae,10.1093/nar/gkaa946,10.46936/10.25585/60007217
IMG_VR_0050,IMGVR_UViG_3300001450_003597|3300001450|JGI24006J15134_10005275,IMG_VR v3,Metagenome,3300001450,Linear,6750,Seed,IMG_VR_0050,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Mividavirales;Sputniviroviridae,10.1093/nar/gkaa946,10.46936/10.25585/60007217
IMG_VR_0052,IMGVR_UViG_3300001605_001400|3300001605|Draft_10001555,IMG_VR v3,Metagenome,3300001605,Linear,30393,Seed,IMG_VR_0052,Near-complete,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1021/es4020184 10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,
IMG_VR_0053,IMGVR_UViG_3300001605_001401|3300001605|Draft_10006620,IMG_VR v3,Metagenome,3300001605,Linear,12935,Seed,IMG_VR_0053,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1021/es4020184 10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,
IMG_VR_0054,IMGVR_UViG_3300001605_001402|3300001605|Draft_10009362,IMG_VR v3,Metagenome,3300001605,Linear,10452,Seed,IMG_VR_0054,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1021/es4020184 10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,
IMG_VR_0056,IMGVR_UViG_3300001798_000036|3300001798|JGI24126J20157_1000438,IMG_VR v3,Metagenome,3300001798,Linear,15931,Clustered,MAG_Nitrosarchaeum_sp._isolate_CROMO_BS_83_3_0_c_000000707256,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1186/s40168-019-0768-5,10.46936/10.25585/60007411
IMG_VR_0058,IMGVR_UViG_3300002091_000566|3300002091|JGI24028J26656_1000152,IMG_VR v3,Metagenome,3300002091,DTR,29217,Seed,IMG_VR_0058,Complete,ATPase MCP Penton PRO,Group 003,Aquatic virophages 2,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0059,IMGVR_UViG_3300002091_000567|3300002091|JGI24028J26656_1000154,IMG_VR v3,Metagenome,3300002091,Linear,29963,Seed,IMG_VR_0059,Near-complete,ATPase MCP Penton PRO,Group 003,Aquatic virophages 2,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0060,IMGVR_UViG_3300002091_000569|3300002091|JGI24028J26656_1000405,IMG_VR v3,Metagenome,3300002091,Linear,14242,Clustered,IMG_VR_0077,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0061,IMGVR_UViG_3300002091_000570|3300002091|JGI24028J26656_1000582,IMG_VR v3,Metagenome,3300002091,Linear,10660,Seed,IMG_VR_0061,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0062,IMGVR_UViG_3300002091_000572|3300002091|JGI24028J26656_1001022,IMG_VR v3,Metagenome,3300002091,Linear,6945,Seed,IMG_VR_0062,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0063,IMGVR_UViG_3300002091_000574|3300002091|JGI24028J26656_1001493,IMG_VR v3,Metagenome,3300002091,Linear,5156,Clustered,IMG_VR_0065,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0064,IMGVR_UViG_3300002092_000812|3300002092|JGI24218J26658_1000290,IMG_VR v3,Metagenome,3300002092,ITR,29392,Seed,IMG_VR_0064,Complete,ATPase MCP Penton PRO,Group 001,Aquatic virophages 1,Maveriviricetes;Priklausovirales;Omnilimnoviroviridae,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0065,IMGVR_UViG_3300002092_000813|3300002092|JGI24218J26658_1000335,IMG_VR v3,Metagenome,3300002092,Linear,26263,Seed,IMG_VR_0065,Near-complete,ATPase MCP Penton PRO,Group 003,Aquatic virophages 2,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0066,IMGVR_UViG_3300002092_000814|3300002092|JGI24218J26658_1000336,IMG_VR v3,Metagenome,3300002092,Linear,26203,Clustered,IMG_VR_0086,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0067,IMGVR_UViG_3300002092_000816|3300002092|JGI24218J26658_1000683,IMG_VR v3,Metagenome,3300002092,Linear,14413,Clustered,IMG_VR_0059,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0068,IMGVR_UViG_3300002092_000817|3300002092|JGI24218J26658_1000692,IMG_VR v3,Metagenome,3300002092,Linear,14246,Clustered,IMG_VR_0077,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0069,IMGVR_UViG_3300002092_000818|3300002092|JGI24218J26658_1000731,IMG_VR v3,Metagenome,3300002092,Linear,13427,Clustered,PE_022,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0070,IMGVR_UViG_3300002092_000819|3300002092|JGI24218J26658_1000946,IMG_VR v3,Metagenome,3300002092,Linear,10660,Clustered,IMG_VR_0061,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0071,IMGVR_UViG_3300002092_000820|3300002092|JGI24218J26658_1001675,IMG_VR v3,Metagenome,3300002092,Linear,6445,Seed,IMG_VR_0071,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0072,IMGVR_UViG_3300002092_000821|3300002092|JGI24218J26658_1001868,IMG_VR v3,Metagenome,3300002092,Linear,5901,Seed,IMG_VR_0072,Partial,ATPase MCP Penton,NA,NA,Maveriviricetes;Priklausovirales;Dishuiviroviridae,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0073,IMGVR_UViG_3300002092_000822|3300002092|JGI24218J26658_1002068,IMG_VR v3,Metagenome,3300002092,Linear,5463,Clustered,IMG_VR_0283,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0074,IMGVR_UViG_3300002098_000759|3300002098|JGI24219J26650_1000215,IMG_VR v3,Metagenome,3300002098,Linear,29963,Clustered,IMG_VR_0059,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0075,IMGVR_UViG_3300002098_000760|3300002098|JGI24219J26650_1000248,IMG_VR v3,Metagenome,3300002098,Linear,26367,Clustered,IMG_VR_0086,NA,NA,NA,NA,NA,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0076,IMGVR_UViG_3300002098_000761|3300002098|JGI24219J26650_1000491,IMG_VR v3,Metagenome,3300002098,Linear,16193,Seed,IMG_VR_0076,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0077,IMGVR_UViG_3300002098_000763|3300002098|JGI24219J26650_1000581,IMG_VR v3,Metagenome,3300002098,Linear,14247,Seed,IMG_VR_0077,Partial,ATPase MCP Penton PRO,NA,NA,Maveriviricetes;Unclassified,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0078,IMGVR_UViG_3300002098_000764|3300002098|JGI24219J26650_1001487,IMG_VR v3,Metagenome,3300002098,Linear,7035,Seed,IMG_VR_0078,Partial,MCP Penton PRO,NA,NA,Maveriviricetes;Priklausovirales;Dishuiviroviridae,10.1093/nar/gkaa946 10.1128/mSphere.00202-18 10.1186/s40168-019-0768-5,10.46936/10.25585/60000619
IMG_VR_0079,IMGVR_UViG_3300002220_001459|3300002220|MLSBCLC_10154717,IMG_VR v3,Metagenome,3300002220,Linear,10346,Seed,IMG_VR_0079,Partial,ATPase MCP Penton,NA,NA,Maveriviricetes;Priklausovirales;Burtonviroviridae,10.1021/es4020184 10.1093/nar/gkaa946,
