target,t_acc,query,q_acc,evalue,score,sample,contig,query_type
tig00021708-10-192480_24,-,ATPase_1,-,7.6e-62,215.5,AalE,tig00021708-10-192480,ATPase
tig00266088-10-111070_19,-,ATPase_1,-,1.3e-17,70.3,AalE,tig00266088-10-111070,ATPase
tig00023338-10-248230_19,-,ATPase_1,-,2.9e-17,69.2,AalE,tig00023338-10-248230,ATPase
tig00023338-10-248230_9,-,ATPase_1,-,3.6e-17,68.9,AalE,tig00023338-10-248230,ATPase
tig00266089-10-124580_8,-,ATPase_1,-,6.4e-16,64.8,AalE,tig00266089-10-124580,ATPase
tig01014196-10-76350_10,-,ATPase_1,-,1.1e-15,63.9,AalE,tig01014196-10-76350,ATPase
tig00021708-10-192480_24,-,ATPase_2,-,5.4e-58,203.1,AalE,tig00021708-10-192480,ATPase
tig00266088-10-111070_19,-,ATPase_2,-,5.9e-17,68.2,AalE,tig00266088-10-111070,ATPase
tig00023338-10-248230_19,-,ATPase_2,-,1.5e-16,66.9,AalE,tig00023338-10-248230,ATPase
tig00266089-10-124580_8,-,ATPase_2,-,2.1e-16,66.4,AalE,tig00266089-10-124580,ATPase
tig00023338-10-248230_9,-,ATPase_2,-,2.2e-16,66.4,AalE,tig00023338-10-248230,ATPase
tig01014196-10-76350_10,-,ATPase_2,-,2.4e-15,62.9,AalE,tig01014196-10-76350,ATPase
tig00021708-10-192480_24,-,ATPase_3,-,4.2e-13,55.2,AalE,tig00021708-10-192480,ATPase
tig00021708-10-192480_24,-,ATPase_4,-,7e-23,87.7,AalE,tig00021708-10-192480,ATPase
tig00021708-10-192480_22,-,MCP_1,-,1.5e-114,390.1,AalE,tig00021708-10-192480,MCP
tig00021708-10-192480_22,-,MCP_2,-,5.2e-42,150.4,AalE,tig00021708-10-192480,MCP
tig00021708-10-192480_22,-,MCP_3,-,1.4e-19,76.4,AalE,tig00021708-10-192480,MCP
tig00021708-10-192480_22,-,MCP_4,-,8.4e-22,83.8,AalE,tig00021708-10-192480,MCP
tig00021708-10-192480_22,-,MCP_5,-,1.1e-16,66.7,AalE,tig00021708-10-192480,MCP
tig00021708-10-192480_22,-,MCP_6,-,6.1e-34,123.7,AalE,tig00021708-10-192480,MCP
tig00021708-10-192480_22,-,MCP_7,-,3.9e-24,91.2,AalE,tig00021708-10-192480,MCP
tig00021708-10-192480_3,-,Penton_1,-,9.6e-57,199.2,AalE,tig00021708-10-192480,Penton
tig00021708-10-192480_3,-,Penton_6,-,1.3e-12,53.2,AalE,tig00021708-10-192480,Penton
tig00021708-10-192480_3,-,Penton_7,-,1.3e-22,86.6,AalE,tig00021708-10-192480,Penton
tig00021708-10-192480_21,-,PRO_1,-,2.9e-42,151.2,AalE,tig00021708-10-192480,PRO
tig00266089-10-124580_5,-,PRO_1,-,3.5e-14,59.3,AalE,tig00266089-10-124580,PRO
tig01014196-10-76350_5,-,PRO_1,-,9.7e-14,57.9,AalE,tig01014196-10-76350,PRO
tig00023338-10-248230_6,-,PRO_1,-,6.5e-12,51.9,AalE,tig00023338-10-248230,PRO
tig00083928-10-131450_1,-,ALL_PLV,-,2e-26,100.4,AalW,tig00083928-10-131450,ALL_PLV
3300009163_assembled_Ga0114970_10000439_10,-,ATPase_1,-,6.8e-109,360.6,all,3300009163_assembled_Ga0114970_10000439,ATPase
3300010334_assembled_Ga0136644_10000572_10,-,ATPase_1,-,1.6e-108,359.4,all,3300010334_assembled_Ga0136644_10000572,ATPase
3300010885_assembled_Ga0133913_10009135_15,-,ATPase_1,-,4.1e-107,354.8,all,3300010885_assembled_Ga0133913_10009135,ATPase
3300009183_assembled_Ga0114974_10000518_21,-,ATPase_1,-,7.2e-106,350.7,all,3300009183_assembled_Ga0114974_10000518,ATPase
OL828819.1_14,-,ATPase_1,-,3.8e-105,348.3,all,OL828819.1,ATPase
3300010354_assembled_Ga0129333_10000799_11,-,ATPase_1,-,8.6e-105,347.1,all,3300010354_assembled_Ga0129333_10000799,ATPase
3300002835_assembled_B570J40625_100004419_20,-,ATPase_1,-,9.2e-105,347,all,3300002835_assembled_B570J40625_100004419,ATPase
3300009181_assembled_Ga0114969_10001288_25,-,ATPase_1,-,3.7e-104,345.1,all,3300009181_assembled_Ga0114969_10001288,ATPase
3300023174_assembled_Ga0214921_10004023_3,-,ATPase_1,-,7.6e-104,344,all,3300023174_assembled_Ga0214921_10004023,ATPase
3300027973_assembled_Ga0209298_10000424_23,-,ATPase_1,-,1e-103,343.6,all,3300027973_assembled_Ga0209298_10000424,ATPase
3300010885_assembled_Ga0133913_10009566_15,-,ATPase_1,-,2.6e-103,342.3,all,3300010885_assembled_Ga0133913_10009566,ATPase
3300007540_assembled_Ga0099847_1000087_6,-,ATPase_1,-,6.9e-103,340.9,all,3300007540_assembled_Ga0099847_1000087,ATPase
3300010885_assembled_Ga0133913_10010443_6,-,ATPase_1,-,2.1e-102,339.3,all,3300010885_assembled_Ga0133913_10010443,ATPase
3300010885_assembled_Ga0133913_10015411_11,-,ATPase_1,-,3e-102,338.8,all,3300010885_assembled_Ga0133913_10015411,ATPase
3300007734_assembled_Ga0104986_1721_5,-,ATPase_1,-,5.4e-102,337.9,all,3300007734_assembled_Ga0104986_1721,ATPase
3300025487_assembled_Ga0208105_1000377_12,-,ATPase_1,-,1e-101,337.1,all,3300025487_assembled_Ga0208105_1000377,ATPase
KJ854379.1_1,-,ATPase_1,-,1.2e-101,336.8,all,KJ854379.1,ATPase
3300005582_assembled_Ga0049080_10000091_2,-,ATPase_1,-,1.3e-101,336.7,all,3300005582_assembled_Ga0049080_10000091,ATPase
3300005747_assembled_Ga0076924_1015279_30,-,ATPase_1,-,2.1e-101,336,all,3300005747_assembled_Ga0076924_1015279,ATPase
3300006916_assembled_Ga0070750_10000267_13,-,ATPase_1,-,1.2e-100,333.5,all,3300006916_assembled_Ga0070750_10000267,ATPase
3300027708_assembled_Ga0209188_1000973_24,-,ATPase_1,-,1.2e-99,330.3,all,3300027708_assembled_Ga0209188_1000973,ATPase
3300027769_assembled_Ga0209770_10000312_19,-,ATPase_1,-,1.2e-98,327,all,3300027769_assembled_Ga0209770_10000312,ATPase
3300025401_assembled_Ga0207955_1000104_2,-,ATPase_1,-,1.3e-98,326.8,all,3300025401_assembled_Ga0207955_1000104,ATPase
3300009500_assembled_Ga0116229_10007006_21,-,ATPase_1,-,2.2e-98,326.1,all,3300009500_assembled_Ga0116229_10007006,ATPase
3300010885_assembled_Ga0133913_10009934_7,-,ATPase_1,-,5.1e-98,324.9,all,3300010885_assembled_Ga0133913_10009934,ATPase
3300027793_assembled_Ga0209972_10000880_7,-,ATPase_1,-,6.3e-98,324.6,all,3300027793_assembled_Ga0209972_10000880,ATPase
3300010885_assembled_Ga0133913_10013167_23,-,ATPase_1,-,8.1e-98,324.2,all,3300010885_assembled_Ga0133913_10013167,ATPase
3300028413_assembled_Ga0306870_1000093_3,-,ATPase_1,-,2.5e-96,319.4,all,3300028413_assembled_Ga0306870_1000093,ATPase
KC556925.1_1,-,ATPase_1,-,6.6e-94,311.4,all,KC556925.1,ATPase
3300002092_assembled_JGI24218J26658_1000290_25,-,ATPase_1,-,2.8e-93,309.4,all,3300002092_assembled_JGI24218J26658_1000290,ATPase
3300009183_assembled_Ga0114974_10001000_1,-,ATPase_1,-,1.6e-92,306.9,all,3300009183_assembled_Ga0114974_10001000,ATPase
3300006114_assembled_Ga0007815_1000154_23,-,ATPase_1,-,6.7e-92,304.8,all,3300006114_assembled_Ga0007815_1000154,ATPase
3300009182_assembled_Ga0114959_10001102_27,-,ATPase_1,-,4e-91,302.3,all,3300009182_assembled_Ga0114959_10001102,ATPase
3300019487_assembled_Ga0187893_10009394_10,-,ATPase_1,-,9.3e-91,301.1,all,3300019487_assembled_Ga0187893_10009394,ATPase
3300010413_assembled_Ga0136851_10008908_8,-,ATPase_1,-,1e-90,301,all,3300010413_assembled_Ga0136851_10008908,ATPase
3300032893_assembled_Ga0335069_10005211_12,-,ATPase_1,-,2.1e-90,299.9,all,3300032893_assembled_Ga0335069_10005211,ATPase
3300007541_assembled_Ga0099848_1000221_11,-,ATPase_1,-,6.5e-90,298.3,all,3300007541_assembled_Ga0099848_1000221,ATPase
3300032770_assembled_Ga0335085_10008907_6,-,ATPase_1,-,9.5e-90,297.8,all,3300032770_assembled_Ga0335085_10008907,ATPase
MG807318.2_4,-,ATPase_1,-,1.9e-88,293.5,all,MG807318.2,ATPase
3300027777_assembled_Ga0209829_10000789_10,-,ATPase_1,-,5e-88,292.1,all,3300027777_assembled_Ga0209829_10000789,ATPase
3300025646_assembled_Ga0208161_1000494_5,-,ATPase_1,-,6.3e-88,291.8,all,3300025646_assembled_Ga0208161_1000494,ATPase
3300000439_assembled_TBL_comb48_EPIDRAFT_1001871_4,-,ATPase_1,-,1.4e-87,290.7,all,3300000439_assembled_TBL_comb48_EPIDRAFT_1001871,ATPase
3300024254_assembled_Ga0247661_1000063_14,-,ATPase_1,-,1.7e-87,290.3,all,3300024254_assembled_Ga0247661_1000063,ATPase
JN603370.1_3,-,ATPase_1,-,3.3e-87,289.4,all,JN603370.1,ATPase
3300021438_assembled_Ga0213920_1000796_9,-,ATPase_1,-,4.3e-87,289.1,all,3300021438_assembled_Ga0213920_1000796,ATPase
3300013094_assembled_Ga0164297_10001420_22,-,ATPase_1,-,4.9e-87,288.9,all,3300013094_assembled_Ga0164297_10001420,ATPase
3300014492_assembled_Ga0182013_10004328_17,-,ATPase_1,-,7.6e-87,288.3,all,3300014492_assembled_Ga0182013_10004328,ATPase
3300009154_assembled_Ga0114963_10000587_7,-,ATPase_1,-,4.3e-85,282.5,all,3300009154_assembled_Ga0114963_10000587,ATPase
3300032665_assembled_Ga0316221_1001987_5,-,ATPase_1,-,7.9e-84,278.4,all,3300032665_assembled_Ga0316221_1001987,ATPase
3300009180_assembled_Ga0114979_10000767_10,-,ATPase_1,-,1.3e-82,274.4,all,3300009180_assembled_Ga0114979_10000767,ATPase
3300017971_assembled_Ga0180438_10003911_17,-,ATPase_1,-,3.4e-82,273,all,3300017971_assembled_Ga0180438_10003911,ATPase
3300029911_assembled_Ga0311361_10011007_11,-,ATPase_1,-,4.7e-82,272.5,all,3300029911_assembled_Ga0311361_10011007,ATPase
3300009548_assembled_Ga0116107_1001113_11,-,ATPase_1,-,4.9e-82,272.5,all,3300009548_assembled_Ga0116107_1001113,ATPase
