molecule,gene,start,end,strand,orientation,gc_content,annotation
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_1,3,839,reverse,1,0.421,MCP
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_2,836,1654,reverse,1,0.421,hypothetical
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_3,1668,2252,reverse,1,0.446,hypothetical
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_4,2412,2636,reverse,1,0.48,hypothetical
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_5,2614,2826,reverse,1,0.408,hypothetical
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_6,2835,3434,reverse,1,0.412,hypothetical
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_7,3460,4104,reverse,1,0.436,hypothetical
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_8,4170,4532,forward,0,0.427,hypothetical
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_9,4544,5266,forward,0,0.414,hypothetical
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_10,5293,5844,forward,0,0.418,hypothetical
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_11,5854,6201,reverse,1,0.443,hypothetical
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_12,6340,6579,reverse,1,0.35,hypothetical
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_13,6595,7074,reverse,1,0.433,hypothetical
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_14,7132,8037,forward,0,0.481,hypothetical
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_15,8088,8507,forward,0,0.45,hypothetical
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_16,8527,8901,reverse,1,0.411,hypothetical
AalW_tig00083928-10-131450_plv,AalW_tig00083928-10-131450_plv_17,8951,10501,reverse,1,0.423,hypothetical
