target,t_acc,query,q_acc,evalue,score,sample,contig,query_type,gene_id
tig00021708-10-192480_24,-,ATPase_1,-,7.6e-62,215.5,AalE,tig00021708-10-192480,ATPase,AalE_tig00021708-10-192480_vph_24
tig00266088-10-111070_19,-,ATPase_1,-,1.3e-17,70.3,AalE,tig00266088-10-111070,ATPase,AalE_tig00266088-10-111070_vph_19
tig00023338-10-248230_19,-,ATPase_1,-,2.9e-17,69.2,AalE,tig00023338-10-248230,ATPase,AalE_tig00023338-10-248230_vph_19
tig00023338-10-248230_9,-,ATPase_1,-,3.6e-17,68.9,AalE,tig00023338-10-248230,ATPase,AalE_tig00023338-10-248230_vph_9
tig00266089-10-124580_8,-,ATPase_1,-,6.4e-16,64.8,AalE,tig00266089-10-124580,ATPase,AalE_tig00266089-10-124580_vph_8
tig01014196-10-76350_10,-,ATPase_1,-,1.1e-15,63.9,AalE,tig01014196-10-76350,ATPase,AalE_tig01014196-10-76350_vph_10
tig00021708-10-192480_24,-,ATPase_2,-,5.4e-58,203.1,AalE,tig00021708-10-192480,ATPase,AalE_tig00021708-10-192480_vph_24
tig00266088-10-111070_19,-,ATPase_2,-,5.9e-17,68.2,AalE,tig00266088-10-111070,ATPase,AalE_tig00266088-10-111070_vph_19
tig00023338-10-248230_19,-,ATPase_2,-,1.5e-16,66.9,AalE,tig00023338-10-248230,ATPase,AalE_tig00023338-10-248230_vph_19
tig00266089-10-124580_8,-,ATPase_2,-,2.1e-16,66.4,AalE,tig00266089-10-124580,ATPase,AalE_tig00266089-10-124580_vph_8
tig00023338-10-248230_9,-,ATPase_2,-,2.2e-16,66.4,AalE,tig00023338-10-248230,ATPase,AalE_tig00023338-10-248230_vph_9
tig01014196-10-76350_10,-,ATPase_2,-,2.4e-15,62.9,AalE,tig01014196-10-76350,ATPase,AalE_tig01014196-10-76350_vph_10
tig00021708-10-192480_24,-,ATPase_3,-,4.2e-13,55.2,AalE,tig00021708-10-192480,ATPase,AalE_tig00021708-10-192480_vph_24
tig00021708-10-192480_24,-,ATPase_4,-,7e-23,87.7,AalE,tig00021708-10-192480,ATPase,AalE_tig00021708-10-192480_vph_24
tig00021708-10-192480_22,-,MCP_1,-,1.5e-114,390.1,AalE,tig00021708-10-192480,MCP,AalE_tig00021708-10-192480_vph_22
tig00021708-10-192480_22,-,MCP_2,-,5.2e-42,150.4,AalE,tig00021708-10-192480,MCP,AalE_tig00021708-10-192480_vph_22
tig00021708-10-192480_22,-,MCP_3,-,1.4e-19,76.4,AalE,tig00021708-10-192480,MCP,AalE_tig00021708-10-192480_vph_22
tig00021708-10-192480_22,-,MCP_4,-,8.4e-22,83.8,AalE,tig00021708-10-192480,MCP,AalE_tig00021708-10-192480_vph_22
tig00021708-10-192480_22,-,MCP_5,-,1.1e-16,66.7,AalE,tig00021708-10-192480,MCP,AalE_tig00021708-10-192480_vph_22
tig00021708-10-192480_22,-,MCP_6,-,6.1e-34,123.7,AalE,tig00021708-10-192480,MCP,AalE_tig00021708-10-192480_vph_22
tig00021708-10-192480_22,-,MCP_7,-,3.9e-24,91.2,AalE,tig00021708-10-192480,MCP,AalE_tig00021708-10-192480_vph_22
tig00021708-10-192480_3,-,Penton_1,-,9.6e-57,199.2,AalE,tig00021708-10-192480,Penton,AalE_tig00021708-10-192480_vph_3
tig00021708-10-192480_3,-,Penton_6,-,1.3e-12,53.2,AalE,tig00021708-10-192480,Penton,AalE_tig00021708-10-192480_vph_3
tig00021708-10-192480_3,-,Penton_7,-,1.3e-22,86.6,AalE,tig00021708-10-192480,Penton,AalE_tig00021708-10-192480_vph_3
tig00021708-10-192480_21,-,PRO_1,-,2.9e-42,151.2,AalE,tig00021708-10-192480,PRO,AalE_tig00021708-10-192480_vph_21
tig00266089-10-124580_5,-,PRO_1,-,3.5e-14,59.3,AalE,tig00266089-10-124580,PRO,AalE_tig00266089-10-124580_vph_5
tig01014196-10-76350_5,-,PRO_1,-,9.7e-14,57.9,AalE,tig01014196-10-76350,PRO,AalE_tig01014196-10-76350_vph_5
tig00023338-10-248230_6,-,PRO_1,-,6.5e-12,51.9,AalE,tig00023338-10-248230,PRO,AalE_tig00023338-10-248230_vph_6
3300009163_assembled_Ga0114970_10000439_10,-,ATPase_1,-,6.8e-109,360.6,all,3300009163_assembled_Ga0114970_10000439,ATPase,all_3300009163_assembled_Ga0114970_10000439_vph_10
3300010334_assembled_Ga0136644_10000572_10,-,ATPase_1,-,1.6e-108,359.4,all,3300010334_assembled_Ga0136644_10000572,ATPase,all_3300010334_assembled_Ga0136644_10000572_vph_10
3300010885_assembled_Ga0133913_10009135_15,-,ATPase_1,-,4.1e-107,354.8,all,3300010885_assembled_Ga0133913_10009135,ATPase,all_3300010885_assembled_Ga0133913_10009135_vph_15
3300009183_assembled_Ga0114974_10000518_21,-,ATPase_1,-,7.2e-106,350.7,all,3300009183_assembled_Ga0114974_10000518,ATPase,all_3300009183_assembled_Ga0114974_10000518_vph_21
OL828819.1_14,-,ATPase_1,-,3.8e-105,348.3,all,OL828819.1,ATPase,all_OL828819.1_vph_14
