molecule,gene,start,end,strand,orientation,gc_content,annotation
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_1,798,1688,forward,0,0.272,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_2,1816,2391,forward,0,0.385,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_3,2449,3504,forward,0,0.317,Penton_1
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_4,3536,3742,reverse,1,0.29,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_5,3778,4089,forward,0,0.308,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_6,4118,4615,reverse,1,0.357,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_7,4646,5059,forward,0,0.353,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_8,5060,5437,reverse,1,0.336,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_9,5470,5766,forward,0,0.354,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_10,5823,6257,forward,0,0.308,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_11,6318,6722,forward,0,0.316,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_12,6756,7139,forward,0,0.299,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_13,7206,7583,forward,0,0.302,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_14,7634,8041,forward,0,0.314,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_15,8064,8513,forward,0,0.344,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_16,8615,9037,forward,0,0.331,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_17,9172,9558,reverse,1,0.339,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_18,9616,10680,reverse,1,0.406,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_19,10745,11284,reverse,1,0.378,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_20,11316,14945,reverse,1,0.324,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_21,14983,15573,reverse,1,0.381,PRO_1
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_22,15610,17409,forward,0,0.37,MCP_1
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_23,17467,18078,reverse,1,0.327,hypothetical
AalE_tig00021708-10-192480_vph,AalE_tig00021708-10-192480_vph_24,18127,19050,reverse,1,0.346,ATPase_1
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_1,1,714,forward,0,0.276,hypothetical
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_2,714,1607,forward,0,0.254,hypothetical
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_3,1573,1821,forward,0,0.297,hypothetical
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_4,1882,2058,forward,0,0.249,hypothetical
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_5,2090,2269,forward,0,0.389,hypothetical
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_6,2301,3347,reverse,1,0.371,hypothetical
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_7,3389,3943,forward,0,0.362,hypothetical
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_8,3984,4142,forward,0,0.308,hypothetical
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_9,4144,4497,forward,0,0.393,hypothetical
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_10,4621,5145,forward,0,0.339,hypothetical
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_11,5130,6905,forward,0,0.258,hypothetical
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_12,6934,7476,forward,0,0.273,PRO_1
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_13,7501,8676,forward,0,0.283,Penton_1
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_14,8727,10592,forward,0,0.332,MCP_1
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_15,10774,10899,reverse,1,0.27,hypothetical
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_16,10922,11680,reverse,1,0.307,ATPase_1
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_17,11751,12047,forward,0,0.296,hypothetical
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_18,12083,12343,forward,0,0.261,hypothetical
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_19,12362,12664,forward,0,0.271,hypothetical
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_20,12651,12944,reverse,1,0.272,hypothetical
Aved_tig00056523-10-134420_vph,Aved_tig00056523-10-134420_vph_21,12944,13222,reverse,1,0.272,hypothetical
Aved_tig00303955-10-54120_vph,Aved_tig00303955-10-54120_vph_1,97,756,forward,0,0.336,hypothetical
Aved_tig00303955-10-54120_vph,Aved_tig00303955-10-54120_vph_2,888,1886,forward,0,0.271,hypothetical
Aved_tig00303955-10-54120_vph,Aved_tig00303955-10-54120_vph_3,1911,2105,reverse,1,0.272,hypothetical
Aved_tig00303955-10-54120_vph,Aved_tig00303955-10-54120_vph_4,2190,2855,forward,0,0.276,ATPase_1
Aved_tig00303955-10-54120_vph,Aved_tig00303955-10-54120_vph_5,2944,3483,forward,0,0.267,PRO_1
Aved_tig00303955-10-54120_vph,Aved_tig00303955-10-54120_vph_6,3504,4475,forward,0,0.32,Penton_1
Aved_tig00303955-10-54120_vph,Aved_tig00303955-10-54120_vph_7,4616,4837,forward,0,0.324,hypothetical
Aved_tig00303955-10-54120_vph,Aved_tig00303955-10-54120_vph_8,4870,5028,forward,0,0.296,hypothetical
Aved_tig00303955-10-54120_vph,Aved_tig00303955-10-54120_vph_9,5045,5293,reverse,1,0.269,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_1,176,550,forward,0,0.245,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_2,658,1011,forward,0,0.237,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_3,1261,1992,forward,0,0.242,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_4,2032,3096,forward,0,0.23,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_5,3199,3531,forward,0,0.237,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_6,3631,5019,forward,0,0.232,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_7,5054,5260,forward,0,0.208,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_8,5264,6436,reverse,1,0.286,hypothetical
Damh_tig00014446-10-220150_vph,Damh_tig00014446-10-220150_vph_9,6499,6681,forward,0,0.18,hypothetical
